lh_position_x,lh_position_y,lh_position_z,lh_orientation_x,lh_orientation_y,lh_orientation_z,lh_orientation_w,le_position_x,le_position_y,le_position_z,le_orientation_x,le_orientation_y,le_orientation_z,le_orientation_w,rh_position_x,rh_position_y,rh_position_z,rh_orientation_x,rh_orientation_y,rh_orientation_z,rh_orientation_w,re_position_x,re_position_y,re_position_z,re_orientation_x,re_orientation_y,re_orientation_z,re_orientation_w,stamp,gripper_state
0.784008036138137,0.0183728732052264,-0.0779472099199424,0.691783,-0.049767,0.000391,-0.720388,0.463569158339632,0.117401386582791,-0.118954551043563,0.691783,-0.049767,0.000391,-0.720388,-0.776617247009491,-0.0592170871605071,-0.0901421817082592,0.691783,-0.049767,0.000391,-0.720388,-0.464438842521921,0.0716524331079935,-0.143895205662743,0.691783,-0.049767,0.000391,-0.720388,1,0.145
0.784018866321105,0.0183834491963155,-0.078043646682723,0.691779,-0.049713,0.000272,-0.720396,0.463581987633751,0.117371421214355,-0.118999901009468,0.691779,-0.049713,0.000272,-0.720396,-0.776619958466463,-0.0593516486949465,-0.0901155192395083,0.691779,-0.049713,0.000272,-0.720396,-0.464451474290403,0.0715691581850273,-0.143873297277953,0.691779,-0.049713,0.000272,-0.720396,2,0.145
0.784030850897698,0.0182783214529349,-0.0780891108662924,0.691815,-0.049213,-0.00025,-0.720396,0.463577652398962,0.117157278276043,-0.119146562557864,0.691815,-0.049213,-0.00025,-0.720396,-0.776623558210627,-0.0595777185534086,-0.0900880950361371,0.691815,-0.049213,-0.00025,-0.720396,-0.464445898793048,0.0713085579444561,-0.143970422321353,0.691815,-0.049213,-0.00025,-0.720396,3,0.145
0.784022846646295,0.0188707934879322,-0.078078375376593,0.691611,-0.049953,0.00051,-0.720541,0.463507830655287,0.117677327439979,-0.118886164765767,0.691611,-0.049953,0.00051,-0.720541,-0.776625774906877,-0.0597220016058157,-0.0902675427374332,0.691611,-0.049953,0.00051,-0.720541,-0.464485124890127,0.0714546402642505,-0.143823039116863,0.691611,-0.049953,0.00051,-0.720541,4,0.145
0.784019228089127,0.0187004360799463,-0.0781963284049864,0.691664,-0.049285,-0.000264,-0.720535,0.463501035289671,0.117402838084123,-0.119145990527422,0.691664,-0.049285,-0.000264,-0.720535,-0.776635796908695,-0.0599875935735747,-0.0900933601058445,0.691664,-0.049285,-0.000264,-0.720535,-0.464500281674104,0.0711163801770184,-0.143901645243353,0.691664,-0.049285,-0.000264,-0.720535,5,0.145
0.78404409888773,0.0188760698340437,-0.0782193507375051,0.6916,-0.049551,2.9e-05,-0.720579,0.46349568417861,0.117545127037365,-0.119070065502153,0.6916,-0.049551,2.9e-05,-0.720579,-0.776630343135473,-0.0600835726172637,-0.0902362281210569,0.6916,-0.049551,2.9e-05,-0.720579,-0.464497353215821,0.0711451273655912,-0.143888535293054,0.6916,-0.049551,2.9e-05,-0.720579,6,0.145
0.784056609572646,0.0188379119962633,-0.0782904478194918,0.691602,-0.049102,-0.000483,-0.720608,0.463462767917434,0.11743009866974,-0.119272861410805,0.691602,-0.049102,-0.000483,-0.720608,-0.776638432634528,-0.060341464588276,-0.0901514175783703,0.691602,-0.049102,-0.000483,-0.720608,-0.464510193031715,0.0708766919289367,-0.143978089162808,0.691602,-0.049102,-0.000483,-0.720608,7,0.145
0.784077093616355,0.0188232889482506,-0.0783375296437603,0.691622,-0.049213,-0.000409,-0.720581,0.4634659248789,0.117444907906663,-0.119266661798241,0.691622,-0.049213,-0.000409,-0.720581,-0.776655046688882,-0.060293862156026,-0.0901556653726121,0.691622,-0.049213,-0.000409,-0.720581,-0.464516349403556,0.0709397283701846,-0.143940134311031,0.691622,-0.049213,-0.000409,-0.720581,8,0.145
0.784109311254435,0.0189339826650076,-0.0783405311377989,0.691583,-0.049469,-0.000109,-0.720601,0.463476443947982,0.117570247199163,-0.119202122451393,0.691583,-0.049469,-0.000109,-0.720601,-0.776643286623756,-0.0603055309151261,-0.0902916324385305,0.691583,-0.049469,-0.000109,-0.720601,-0.464502405557365,0.0710145852743203,-0.143951222884855,0.691583,-0.049469,-0.000109,-0.720601,9,0.145
0.78411512835852,0.0189482124762558,-0.0784474037289013,0.691591,-0.049527,-0.000159,-0.720589,0.46346995922358,0.117585254203379,-0.119281609726422,0.691591,-0.049527,-0.000159,-0.720589,-0.776656322924135,-0.0603164919074476,-0.0901755789926852,0.691591,-0.049527,-0.000159,-0.720589,-0.464519651205518,0.0710260472630336,-0.143872218044937,0.691591,-0.049527,-0.000159,-0.720589,10,0.145
